fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,retorno_log_diario,media_movil_7d,media_movil_30d,volatilidad_7d,volatilidad_30d
2021-02-07,32575.34,32883.79,31078.1,3228865,32288.65,54363501629,-0.009242769544494269,3082949.5714285714,1537517.2,0.19085873578391882,1.3621206659463423
2021-02-08,32274.86,38335.86,31629.58,3832967,38329.67,84188369335,0.17150849462439988,3233508.0,1660944.0666666667,0.06152783830990245,1.2914768669695302
2021-02-09,38320.15,39742.19,37317.62,383623,38362.3,75773512740,-2.301734156397452,2866861.0,1630507.7666666666,0.8885763108747234,1.2960796581972303
2021-02-10,38352.93,38880.1,36177.2,3706505,37065.05,72038065748,2.2681843635756413,2951798.1428571427,1749745.2,1.3209425856200785,1.2895007604342577
2021-02-11,37048.98,39940.25,36473.29,3949444,39494.44,67093600562,0.06348542541656588,3075153.714285714,1836962.4666666666,1.3209193547508107,1.2194057295364915
2021-02-12,39467.82,40177.79,38387.75,3919492,39194.92,63163420949,-0.007612755943923428,3182820.4285714286,1921648.6333333333,1.3210193883881922,1.2194319913323073
2021-02-13,39183.66,39641.74,38275.91,3886436,38864.36,57960068600,-0.008469511273797074,3272476.0,2005240.4333333333,1.321102442337179,1.2194411518362824
2021-02-14,38871.78,40829.73,38871.78,4019405,40194.05,58783505751,0.033641339432035545,3385410.285714286,2093967.7,1.321015748810629,1.2194047316362977
2021-02-15,40176.93,40319.02,38210.53,3951881,39518.81,63525021825,-0.016942213629893687,3402398.0,2180797.933333333,1.319601325366735,1.219417184512141
2021-02-16,39518.32,41385.67,38881.41,4070074,40700.74,63739498591,0.029469513011164662,3929033.8571428573,2269483.3,0.851886718423971,1.2194163681194403
2021-02-17,40706.87,43628.31,40604.15,4329317,43293.17,67095762025,0.06174861174470117,4018007.0,2408835.966666667,0.033699308676801466,1.1405931931044047
2021-02-18,43286.5,43561.96,42287.22,4273945,42739.45,43049516673,-0.012872504545196554,4064364.285714286,2546290.7,0.030289670670559855,1.140673071072333
2021-02-19,42736.29,46308.13,42149.53,461190,46119.0,52396611048,-2.2264824616964223,3570321.1428571427,2511611.1,0.847485482593258,1.1404747848036934
2021-02-20,46118.34,47453.43,45077.95,4629344,46293.44,56233769904,2.306360346784215,3676450.8571428573,2613571.966666667,1.3088428026310366,1.2183168048563011
2021-02-21,46267.89,48134.5,45941.15,4745613,47456.13,42802585284,0.024805438942664106,3780194.8571428573,2719348.966666667,1.3088373280940837,1.2183010898314015
2021-02-22,47450.18,47461.77,40337.86,4456324,44563.24,75675282178,-0.06289640140416386,3852258.1428571427,2816287.6,1.309190514752099,1.2184020499248933
2021-02-23,44561.28,44561.28,37269.81,4018133,40181.33,87319805134,-0.10350684404298449,3844838.0,2898535.5,1.3099467013035988,1.218653246021112
2021-02-24,40190.11,42211.42,38837.59,4084441,40844.41,52340584486,0.016367509952756494,3809855.714285714,2981151.1,1.3096918483785425,1.2186562708924336
2021-02-25,40847.49,42492.49,38735.16,3873516,38735.16,44832195559,-0.05302225513046665,3752651.5714285714,3057870.2333333334,1.309803030964182,1.2187169082105005
2021-02-26,38806.4,40021.41,36636.48,3838591,38385.91,290727102068,-0.009057249530412918,4235137.428571428,3181023.566666667,0.8847091893438297,1.1299548934400365
